batch_size,in_chan,out_chan,side_len,k_size,stride,for_energy,for_time,back_energy,back_time
137,12,2,25,3,3,29164.35,881.6024,35631.68,1067.2276200000001
416,10,4,38,3,1,403637.26999999996,11890.295320000001,457059.38999999996,12250.279779999999
1225,2,2,40,8,3,74322.28,2475.73468,312113.45,9621.839319999997
405,7,9,40,6,2,124197.03,3959.74764,278465.43999999994,8687.054320000001
778,5,12,37,6,1,782512.0400000002,19384.625979999993,1737493.0100000002,41649.14692
355,7,12,49,3,2,126568.84,3950.7507600000004,371833.18000000005,10968.858519999998
483,12,3,32,6,3,179759.66,5810.863219999999,150249.82,4609.65616
1137,4,1,43,6,1,799751.3400000001,22477.72788,1159213.3900000001,29186.51494
60,11,9,56,5,2,124291.04,3376.5781,126787.99000000002,3474.18362
1144,12,5,45,5,3,956855.49,26564.570659999998,879481.4099999999,23551.9699
1162,13,6,57,8,2,3400074.88,88908.10982,2296259.95,52501.1817
1038,1,10,25,5,3,22549.98,856.0888000000001,132168.87,4137.711579999999
1761,4,12,11,8,1,44138.689999999995,1586.1942,97394.73999999999,3225.69754
616,14,10,55,7,2,1743708.92,37812.36154,1662416.9999999998,34323.54966
1181,1,1,36,5,2,37563.96000000001,1313.73172,317906.33999999997,9388.5384
1626,4,11,24,7,3,62448.05,2111.10886,263608.31,8450.784779999998
647,10,10,61,3,3,994667.8600000001,22716.409320000002,1265467.3399999999,26756.013740000002
991,7,9,49,5,3,230323.53000000003,6839.8653,624059.02,17453.883240000003
841,15,5,10,4,2,35091.43000000001,1392.12748,40258.68,1369.0962599999998
600,13,2,54,5,2,1079409.48,25343.93722,879320.85,19273.521800000002
719,7,9,52,4,1,1155999.26,27566.18554,2517868.29,58925.19308
594,7,7,11,7,1,23332.42,916.3819199999998,40716.44,1333.6973200000002
1041,12,7,60,6,3,1825518.95,44214.89998,1583296.19,35385.606040000006
657,15,6,37,4,1,927762.53,24859.691679999996,926355.6199999999,22993.31594
1583,4,14,14,3,1,75430.0,2406.4996,293684.62,8910.42148
792,5,2,14,7,3,14406.7,544.29678,33521.64,1111.24514
788,15,11,56,6,3,1387015.5099999998,31707.36368,1430324.6700000002,30349.38738
922,9,6,32,3,2,313286.61,9434.504319999998,382675.47000000003,11105.88234
1496,6,11,63,5,1,3850922.78,96048.71281999999,8094584.980000001,174879.32018
1283,9,8,41,8,3,1106505.94,30655.809879999997,867736.4899999999,23018.094739999997
1326,12,12,32,5,2,812845.21,22527.76008,968201.9,26271.02358
698,11,6,58,6,2,1593841.76,36118.34561999999,1303887.6,27603.18524
431,10,7,41,8,1,1624823.1099999999,42753.67474,1140883.9,26890.952419999998
462,3,5,56,8,1,737786.25,18256.070639999998,877768.11,19948.869
970,7,14,22,5,3,41071.740000000005,1364.30828,127225.66,3851.5661199999995
1469,7,4,39,3,2,208267.9,6769.273759999999,530147.54,16391.02562
1741,9,1,40,7,1,5253188.38,153938.84006000002,2883342.2800000003,70174.73475999999
1244,14,13,59,7,2,4001855.0200000005,100020.38394,4062332.6999999993,93834.23974
1575,7,8,15,7,2,58408.06999999999,2084.4950000000003,87226.37000000001,2811.64366
213,12,4,57,3,2,348580.05,8666.1214,374932.44999999995,9003.9403
1870,15,8,26,5,3,544086.1300000001,16693.67196,541509.23,15980.36246
729,1,5,30,8,3,20114.670000000002,780.8993400000002,90110.84000000001,2951.97846
1041,3,6,28,7,1,246177.94,8396.99942,303331.75999999995,9669.7585
1385,4,14,55,6,3,370996.94999999995,9579.42836,1330866.35,34233.49193999999
1460,8,4,57,7,2,2028164.92,55188.20342,1478458.8000000003,35095.172439999995
1395,6,5,49,6,2,502114.84,15395.1968,902601.9799999999,25265.63706
359,6,8,37,8,1,358799.67,10832.774379999999,452777.80999999994,12537.663040000001
1821,2,3,20,7,3,27649.419999999995,1078.0826000000002,91401.12999999999,2982.74074
226,5,10,39,7,1,214781.61000000002,6167.230079999999,445871.04000000004,12370.268359999998
2041,7,4,25,8,1,859268.39,26002.986899999996,908828.29,24679.45506
1931,12,13,48,4,1,5561833.29,139333.50830000002,8086869.57,172634.98
1910,7,14,14,7,3,37426.05,1359.6099600000002,102293.49,3155.5323200000003
1151,9,7,63,6,2,2886832.21,71483.49546,2370094.6399999997,52873.32117999999
1911,6,1,32,6,2,257246.66,8458.970539999998,416206.81000000006,12528.9854
888,6,10,40,7,2,274568.97000000003,8125.050439999999,659402.01,18814.26868
466,11,8,34,4,3,229181.49,7254.717360000001,266369.56999999995,8181.7033599999995
1964,5,6,53,5,1,2318423.64,67199.99648,4238223.42,99965.78678000001
1825,3,14,58,6,1,3302839.4499999993,78523.50670000001,7375301.459999999,161345.69854
1807,11,12,61,3,1,6660442.5,142458.8762,11189075.43,237451.87546000007
545,9,1,11,5,2,40474.75,1433.8514800000003,35571.8,1096.32256
395,12,2,46,7,1,1693943.4400000002,49338.09498,1111075.08,26993.66612
1608,2,15,33,5,2,158600.12,4493.61098,863022.0900000001,23139.26388
1005,10,5,51,5,2,1376748.22,36829.824700000005,1221829.73,30485.522799999995
155,1,7,22,7,1,19888.8,489.81165999999996,58108.33,1600.31284
