batch_size,k_side_length,stride,in_chan,im_side_length,for_energy,for_time,back_energy,back_time
882,9,2,28,77,24660900.050000004,538291.3768800001,0.0,0.0
1882,3,1,7,96,20886234.35,492889.84382000007,0.0,0.0
1208,5,3,21,59,3602638.47,87490.28576,0.0,0.0
1797,2,1,12,61,9464366.650000002,225352.2485,0.0,0.0
433,5,2,12,70,2206299.9099999997,53476.966159999996,0.0,0.0
153,7,3,30,58,961986.0900000001,24829.32572,0.0,0.0
1448,3,2,21,68,6988202.99,164478.51804,0.0,0.0
1669,6,2,16,58,9285091.56,234214.24424,0.0,0.0
142,4,1,7,64,914719.8600000001,24153.86718,0.0,0.0
1005,8,3,11,83,5122331.8100000005,126693.58680000002,0.0,0.0
680,9,3,30,60,5232893.1899999995,118461.04653999997,0.0,0.0
641,8,2,13,80,7977954.4,187982.42320000002,0.0,0.0
408,8,3,26,98,7042535.029999999,164266.32592000003,0.0,0.0
32,8,3,16,95,368830.22,10869.4268,0.0,0.0
844,4,3,11,51,721000.3400000001,23828.09272,0.0,0.0
1885,7,1,16,59,48084976.379999995,1030942.3589600001,0.0,0.0
1068,7,3,14,95,7969377.76,177395.90699999998,0.0,0.0
995,4,1,30,90,58431666.25,1209569.52494,0.0,0.0
105,2,1,12,59,545214.5999999999,14086.83236,0.0,0.0
200,3,3,23,51,322952.66000000003,8268.829999999998,0.0,0.0
1289,7,1,29,70,86445676.59,1775945.0934000001,0.0,0.0
1393,4,2,15,92,11896136.59,257389.65330000003,0.0,0.0
1212,2,2,18,69,3710433.63,86145.78020000001,0.0,0.0
2024,4,2,7,89,7353472.37,175973.49568,0.0,0.0
176,2,1,30,80,4156217.4299999997,96596.17596,0.0,0.0
573,8,1,25,74,44261557.79000001,975693.08134,0.0,0.0
110,6,2,3,62,149240.98,4821.070559999999,0.0,0.0
1610,7,3,21,66,8017286.609999999,185955.08638000002,0.0,0.0
1310,8,1,10,51,16948607.830000002,450687.1308599999,0.0,0.0
178,2,2,14,73,543875.53,12986.958860000002,0.0,0.0
58,7,2,16,88,1040274.4099999999,28689.708659999997,0.0,0.0
1169,9,3,23,70,9850829.940000001,225488.47621999998,0.0,0.0
707,4,2,29,95,12438980.02,265068.0018600001,0.0,0.0
1183,4,2,13,94,9486172.629999999,217754.86515999996,0.0,0.0
475,4,2,18,90,4651208.23,107590.32196,0.0,0.0
1554,6,2,3,50,1210920.35,35313.01788,0.0,0.0
1018,3,3,29,70,3533974.12,77229.62758,0.0,0.0
106,3,3,11,87,268666.36,7076.754539999999,0.0,0.0
562,3,2,13,67,1619546.5500000003,38914.29756,0.0,0.0
147,8,2,11,80,1510014.48,39874.4213,0.0,0.0
44,8,1,31,75,4469107.1899999995,129509.03865999999,0.0,0.0
1539,7,1,22,97,156476782.64000002,3186800.12734,0.0,0.0
1008,5,1,18,99,60823125.529999994,1259869.35952,0.0,0.0
1873,6,1,20,56,46455268.64,997125.05116,0.0,0.0
880,7,2,18,72,9839019.59,242676.88565999997,0.0,0.0
1669,9,1,30,84,-2393583808.91,4605178.05404,0.0,0.0
1004,8,3,27,62,6956700.33,155043.22938,0.0,0.0
1639,5,1,4,65,9554387.809999999,262298.59456,0.0,0.0
1522,2,1,22,65,16379537.620000001,372864.04354000004,0.0,0.0
1664,9,2,25,62,24675517.22,534327.84208,0.0,0.0
1617,2,3,22,81,4271343.42,95583.62958,0.0,0.0
197,8,2,20,53,1569413.15,42275.82598,0.0,0.0
94,7,3,16,74,495559.62,13275.003560000001,0.0,0.0
891,2,1,3,96,3250695.3999999994,86976.37792,0.0,0.0
805,7,1,15,98,58450828.160000004,1254782.33736,0.0,0.0
1947,5,1,15,82,66145275.010000005,1386846.7738599998,0.0,0.0
339,2,1,24,74,5454904.21,122479.59168,0.0,0.0
1317,7,1,27,59,56822658.510000005,1186729.97936,0.0,0.0
837,5,1,20,81,36952078.9,813986.32514,0.0,0.0
234,4,3,6,63,174099.90000000002,5797.5706,0.0,0.0
1447,5,3,10,75,3213035.6599999997,77102.42724,0.0,0.0
204,7,3,13,64,713406.97,19493.342,0.0,0.0
1964,9,1,15,51,44083157.37,978800.7182199999,0.0,0.0
2021,2,2,22,69,7630505.339999999,172852.25157999998,0.0,0.0
472,6,1,24,83,32377201.68,728811.3645,0.0,0.0
668,7,1,23,52,18620272.099999994,429225.55370000005,0.0,0.0
1292,5,2,22,76,14070521.219999999,309540.84812000004,0.0,0.0
1721,7,2,16,75,19584911.999999996,430480.5833999999,0.0,0.0
205,9,1,10,92,12067549.69,292830.62548000005,0.0,0.0
686,5,1,31,75,40362445.57,874010.1067800003,0.0,0.0
246,5,1,19,68,7395117.760000001,177138.87194,0.0,0.0
1458,2,3,15,64,1539081.69,34069.45886,0.0,0.0
610,3,2,29,68,4173707.55,98378.47318,0.0,0.0
828,5,1,3,71,4658920.619999999,130405.91614000002,0.0,0.0
96,2,2,15,72,286381.67999999993,7345.9857200000015,0.0,0.0
1127,4,1,14,52,9918174.66,244722.13592000003,0.0,0.0
473,3,2,10,64,951681.57,22702.365159999998,0.0,0.0
86,2,2,18,81,369178.15,9144.10508,0.0,0.0
