batch_size,in_chan,out_chan,side_len,k_size,stride,for_energy,for_time,back_energy,back_time
1662,14,17,41,7,2,5241654.0,49534.31468000001,5893603.0600000005,53342.582420000006
523,10,9,36,7,3,536885.74,4694.466939999999,632185.8999999999,5654.652720000001
558,13,16,32,3,1,792192.78,6830.838760000001,1564473.5999999999,14029.699799999999
1583,1,27,28,4,1,1386294.1,13655.694959999999,4782037.200000001,46251.6496
794,14,57,52,4,1,11035263.48,130655.12397999999,19342159.94,233486.86224000002
1739,12,2,26,7,1,2484107.3599999994,26074.5761,1723290.2400000002,18912.805040000003
1818,1,25,56,5,1,6004786.899999999,62846.92802000001,21248391.68,257296.37626
87,3,19,44,7,1,151216.72,1407.2857000000001,356279.51999999996,3549.74176
838,14,31,62,4,1,9354052.02,105177.59261999998,16966540.96,197945.26478
1588,15,6,63,5,2,5752112.92,50682.15374,5439259.799999999,52755.228119999985
1689,5,14,12,5,2,16517.300000000003,372.96516,99839.9,829.3450399999999
1059,10,33,39,7,3,2208845.64,20511.271439999997,2101247.0199999996,21541.6213
880,9,23,30,4,3,354748.8,3106.57756,615391.44,4928.65344
862,6,43,31,7,3,421980.0399999999,3353.5262799999996,775305.64,7002.17378
1063,12,32,22,6,1,2088496.8400000003,21178.610380000002,2675100.6599999997,30814.292659999996
1818,6,4,28,8,1,1232118.36,12050.19744,1485433.3200000003,14909.836860000001
307,10,16,25,6,1,379049.44000000006,3411.36066,482244.72000000003,4594.215539999999
243,14,5,23,5,2,48194.49999999999,739.38968,87944.04000000001,650.23508
1881,13,55,18,5,1,3446431.5,32794.44476,5199540.06,56320.8538
198,15,59,23,3,1,337252.64,2788.6739399999997,759399.82,6803.09716
568,3,18,35,5,1,841368.6200000001,8012.68554,1628881.42,16199.044399999999
940,4,57,34,3,2,842191.5000000002,8192.57106,2395803.2800000003,22313.570200000002
1329,1,36,62,8,1,7186774.840000001,83179.68551999998,33986593.94000001,419948.10617999994
1682,11,48,23,5,2,1590601.4,14374.301459999999,2193041.2399999998,21402.865400000002
463,7,63,53,4,3,634441.8,5378.218699999999,1925150.0400000003,16492.436800000003
995,4,9,29,5,1,449309.14,3884.3979799999993,1248989.7,12444.66852
234,7,60,41,4,2,265114.06,2182.7110199999997,758838.4,6517.148279999999
1673,3,54,27,8,2,822511.34,7415.210319999998,1536546.38,14847.831779999999
1441,2,60,60,6,2,4017669.16,37419.55645999999,12487210.52,147987.8333
499,12,29,44,5,2,1131100.54,9920.73426,1708106.0400000003,15733.84838
1095,5,43,25,7,3,262252.64,2245.83778,625779.6800000002,5544.45744
147,15,28,16,3,1,42884.42,557.79316,85226.87999999999,858.20214
82,13,11,36,8,1,329728.12,3415.1940799999998,362594.34,4068.66892
1712,11,2,61,4,2,4177403.84,38299.64076,4118890.9,40319.56762
1179,3,55,47,5,1,6740438.1,63237.50316,14817414.38,169460.43871999998
1109,4,13,17,4,2,9902.34,383.39506,144201.28000000003,991.0722
1429,8,17,9,7,3,6976.3,299.30833999999993,82325.23999999999,618.4775
1861,13,13,16,3,1,501324.48,4058.45542,930384.4800000001,7883.9564199999995
1891,12,28,57,6,3,6384438.0200000005,63641.93114,8039372.739999999,83626.28664
382,5,27,59,8,2,998874.4199999999,9076.31356,1946284.02,20215.81872
1555,2,45,62,7,3,1770654.5799999996,16260.31336,6850653.88,73232.0764
1549,3,39,59,3,1,8438585.64,89322.29941999998,23637338.140000004,249780.44748
412,4,17,51,3,2,164087.7,1279.4026,801688.62,6451.7228000000005
1756,3,1,29,3,3,30963.059999999998,538.58618,84930.24,574.12
573,15,54,14,8,2,241845.11999999997,2323.49856,258666.3,2480.41098
387,13,52,18,3,3,56900.520000000004,602.7223999999999,112528.9,937.32862
1310,7,15,45,7,1,4574066.7,38935.012279999995,7412323.5200000005,77762.91824
720,1,52,16,6,1,77197.06,1068.5207799999998,826947.46,7627.45888
1682,12,62,53,8,3,10098857.260000002,118392.80937999999,12327589.260000002,144656.83974
1446,1,48,9,4,2,11904.280000000002,327.18582,87188.51999999999,903.08948
180,8,60,10,6,1,33718.2,455.78063999999995,76335.2,775.1625799999999
721,5,7,62,5,2,483240.9,3445.4516000000003,1556037.44,11666.900699999998
173,1,25,11,7,2,8020.0,93.25814,26229.22,353.5949
361,12,32,12,4,3,12169.14,272.77768,39837.439999999995,503.9648399999999
436,5,50,36,5,1,1680952.64,16146.956540000003,3797827.1400000006,42784.93244000001
2024,6,41,46,4,1,10013277.64,97535.4442,22521285.1,260937.5673
1568,7,14,11,5,1,77470.49999999999,893.21048,189000.9,1557.37808
836,1,23,50,8,1,1891022.8800000001,20023.77274,8318575.06,101161.92678000001
453,9,39,37,5,3,502768.4800000001,4271.10894,691551.02,5870.53852
77,2,57,24,6,2,14555.64,254.73514000000006,68709.54000000001,866.7917000000001
541,13,17,60,4,1,4805601.639999999,47323.42298,7120760.580000001,80582.9966
951,3,34,17,7,3,30460.120000000003,508.15472,77398.48,688.7137
177,15,4,59,3,1,588499.4199999999,4840.88346,739609.84,5908.947239999999
437,7,13,43,8,3,207041.72,1519.8317,469473.86,3077.44178
1782,8,11,14,4,2,59496.92,827.6221600000001,214730.82,1361.40568
202,8,13,63,4,2,266362.93999999994,2113.99142,565687.02,4291.89078
254,3,3,43,8,1,250905.03999999998,2502.51544,227661.81999999998,2268.9756399999997
803,3,56,62,4,3,1142373.7599999998,9831.633980000002,2874655.66,24994.05038
913,12,48,57,4,3,2706848.54,25467.784160000003,4312087.36,42564.55996
1134,10,41,28,5,1,4576821.779999999,46147.06908,6588370.5200000005,72617.26894
1388,2,19,9,4,1,20626.120000000003,412.26257999999996,127010.18000000002,1221.6380800000002
271,3,26,24,8,1,163925.28,1540.96366,287764.23999999993,2681.0349200000005
1915,14,49,22,8,3,1547466.6400000001,13660.909640000002,1644760.22,15282.43046
1123,6,40,49,8,2,3479292.9199999995,33520.88154,6160084.32,59894.35802
689,11,59,10,6,1,225718.48000000004,2214.39786,278286.62,2961.47466
233,2,7,18,6,3,13818.340000000002,124.45284,18893.98,355.1084399999999
950,5,19,23,8,2,153404.16,1438.35728,374606.06,3364.6796600000002
1445,1,60,25,3,3,119102.48000000001,1196.59822,907362.2200000001,7734.3189
231,10,10,63,7,1,2846926.3400000003,29845.760840000003,3101398.2800000003,40925.61398
470,6,4,55,7,1,1381134.12,13787.23742,1550679.56,16616.020379999998
831,9,52,14,5,1,614851.92,5895.08528,857408.7399999999,9003.77314
1852,14,55,10,5,1,560439.26,4868.4301000000005,832827.56,7877.9152
1285,1,25,8,5,2,9387.2,147.86187999999999,38725.5,583.2651000000001
1310,15,24,41,3,2,2372261.98,17577.28358,3851810.2600000002,29973.328879999997
686,15,23,37,4,3,722687.4,5836.713519999999,1027795.18,7971.372720000001
713,4,25,12,6,3,13687.659999999998,211.7317,45059.62,644.04426
1094,2,4,36,5,1,323588.02,2966.3732000000005,1139126.68,11184.06224
204,9,23,51,8,1,2877955.2800000003,32309.749040000002,3117799.6,41182.28569999999
1364,2,28,45,5,3,327213.58,2826.5950199999997,1980073.02,18061.98744
1045,6,48,20,3,1,974018.54,9108.52798,2498801.0,23675.514
249,15,32,22,3,2,53216.43999999999,670.3966800000001,128755.74000000002,1108.36972
1479,14,29,16,7,1,1454036.8199999998,14239.50288,1432356.98,16129.127920000003
1523,12,61,36,5,1,11976415.879999999,142986.7056,19602640.26,239561.56866000002
285,10,21,46,4,2,451567.42000000004,3624.9183600000006,725811.12,6106.468900000002
1978,9,41,18,7,2,1052637.7200000002,9901.03412,1236023.4800000002,12828.808359999999
1307,15,35,11,7,2,157372.75999999995,1569.02406,255505.95999999996,2090.7223000000004
1235,8,59,36,8,3,2029166.02,18217.25856,2300969.46,23353.88594
1674,3,60,59,8,1,21139698.04,229528.46504,38434586.7,473796.74853999994
